release_year,mean
1935,13
1936,21
1937,7.333333333333333
1939,12
1940,11.333333333333334
1942,20.5
1944,25
1946,25
1947,25
1948,23.25
1950,24
1951,16.333333333333332
1952,17.75
1953,16.333333333333332
1954,15.714285714285714
1955,28.5
1956,21.333333333333332
1957,19.25
1958,22.6
1959,22
1960,5
1961,9
1962,3.6666666666666665
1963,15.2
1964,10.75
1965,11
1966,16
1967,9.428571428571429
1968,11
1969,4
1970,9.5
1971,22.333333333333332
1972,13.333333333333334
1973,16.2
1974,12
1975,6
1976,18
1977,13.75
1979,20.2
1980,17
1981,21.2
1982,15
1983,11.833333333333334
1984,11
1985,22.6
1986,9.2
1987,10.571428571428571
1988,10.2
1989,15.777777777777779
1990,11
1991,13.142857142857142
1992,15.923076923076923
1993,9.133333333333333
1994,8.142857142857142
1995,12.305555555555555
1996,9.38888888888889
1997,7.514285714285714
1998,13.857142857142858
1999,8.8
2000,7.5588235294117645
2001,9.052631578947368
2002,9.34
2003,10.868421052631579
2004,8.81578947368421
2005,7.5
2006,10.05
2007,7.608695652173913
2008,10.106382978723405
2009,11.204545454545455
2010,9.714285714285714
2011,8.382352941176471
2012,10.941176470588236
2013,12.266666666666667
2014,9.484848484848484
2015,10.975
2016,9.113636363636363
2017,8.057142857142857
2018,6.925
2019,8.95
2020,18.4
2021,9.75
2022,14.8
